trade_id,entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl,exit_reason
1,2026-02-02 05:04:00,SHORT,1.54892,1.5255092857142858,1.553602142857143,2026-02-02 05:04:00,1.54892,-2e-05,SL
2,2026-02-02 06:03:00,SHORT,1.54941,1.5254100000000004,1.5542099999999999,2026-02-02 06:03:00,1.54941,-2e-05,SL
3,2026-02-02 08:23:00,SHORT,1.5495,1.5231750000000008,1.554765,2026-02-02 08:23:00,1.5495,-2e-05,SL
4,2026-02-02 20:56:00,LONG,1.55544,1.5686292857142845,1.552802142857143,2026-02-02 20:56:00,1.55544,-2e-05,SL
5,2026-02-02 22:00:00,LONG,1.55565,1.566053571428571,1.5535692857142858,2026-02-02 22:00:00,1.55565,-2e-05,SL
6,2026-02-02 23:32:00,LONG,1.55512,1.5641307142857144,1.5533178571428572,2026-02-02 23:32:00,1.55512,-2e-05,SL
7,2026-02-02 23:57:00,LONG,1.55412,1.5640414285714288,1.5521357142857142,2026-02-02 23:57:00,1.55412,-2e-05,SL
8,2026-02-03 01:11:00,LONG,1.55497,1.5687592857142851,1.552212142857143,2026-02-03 01:11:00,1.55497,-2e-05,SL
9,2026-02-03 02:17:00,LONG,1.55426,1.569495714285714,1.5512128571428572,2026-02-03 02:17:00,1.55426,-2e-05,SL
10,2026-02-03 05:30:00,LONG,1.55402,1.5659235714285709,1.5516392857142858,2026-02-03 05:30:00,1.55402,-2e-05,SL
11,2026-02-03 06:00:00,LONG,1.55397,1.5653807142857146,1.5516878571428572,2026-02-03 06:00:00,1.55397,-2e-05,SL
12,2026-02-03 07:42:00,LONG,1.55312,1.5660950000000007,1.550525,2026-02-03 07:42:00,1.55312,-2e-05,SL
13,2026-02-03 13:46:00,LONG,1.5585,1.5688714285714285,1.5564257142857143,2026-02-03 13:46:00,1.5585,-2e-05,SL
14,2026-02-03 14:46:00,LONG,1.55831,1.5716492857142856,1.555642142857143,2026-02-03 14:46:00,1.55831,-2e-05,SL
15,2026-02-03 16:17:00,LONG,1.5572,1.5728214285714284,1.5540757142857142,2026-02-03 16:17:00,1.5572,-2e-05,SL
16,2026-02-03 17:16:00,LONG,1.55561,1.572249285714285,1.552282142857143,2026-02-03 17:16:00,1.55561,-2e-05,SL
17,2026-02-03 20:37:00,LONG,1.55716,1.5699528571428583,1.5546014285714285,2026-02-03 20:37:00,1.55716,-2e-05,SL
18,2026-02-03 22:04:00,LONG,1.55722,1.5689521428571438,1.5548735714285713,2026-02-03 22:05:00,1.55722,-2e-05,SL
19,2026-02-03 23:00:00,LONG,1.55704,1.5662007142857153,1.555207857142857,2026-02-03 23:00:00,1.55704,-2e-05,SL
20,2026-02-03 23:47:00,LONG,1.55763,1.567080000000001,1.55574,2026-02-03 23:47:00,1.55763,-2e-05,SL
21,2026-02-04 00:18:00,LONG,1.55858,1.5688871428571434,1.5565185714285714,2026-02-04 00:18:00,1.55858,-2e-05,SL
22,2026-02-04 01:15:00,LONG,1.56065,1.5727250000000004,1.558235,2026-02-04 01:15:00,1.56065,-2e-05,SL
23,2026-02-04 01:51:00,LONG,1.56101,1.5731921428571423,1.5585735714285716,2026-02-04 01:51:00,1.56101,-2e-05,SL
24,2026-02-04 06:35:00,LONG,1.56239,1.5728150000000005,1.5603049999999998,2026-02-04 06:35:00,1.56239,-2e-05,SL
25,2026-02-04 07:00:00,LONG,1.56338,1.5736014285714286,1.5613357142857143,2026-02-04 07:00:00,1.56338,-2e-05,SL
26,2026-02-04 07:23:00,LONG,1.56369,1.5743292857142857,1.561562142857143,2026-02-04 07:23:00,1.56369,-2e-05,SL
27,2026-02-04 10:45:00,LONG,1.56711,1.5775457142857137,1.5650228571428573,2026-02-04 10:45:00,1.56711,-2e-05,SL
28,2026-02-04 13:16:00,LONG,1.56542,1.5779878571428567,1.5629064285714287,2026-02-04 13:16:00,1.56542,-2e-05,SL
29,2026-02-04 14:01:00,LONG,1.56438,1.5795835714285715,1.5613392857142858,2026-02-04 14:01:00,1.56438,-2e-05,SL
30,2026-02-04 14:33:00,LONG,1.56486,1.5811242857142858,1.5616071428571427,2026-02-04 14:33:00,1.56486,-2e-05,SL
31,2026-02-04 15:00:00,LONG,1.56355,1.5818714285714284,1.5598857142857143,2026-02-04 15:00:00,1.56355,-2e-05,SL
32,2026-02-04 22:00:00,LONG,1.56766,1.5770992857142856,1.565772142857143,2026-02-04 22:00:00,1.56766,-2e-05,SL
33,2026-02-04 22:48:00,LONG,1.56795,1.576842857142857,1.5661714285714285,2026-02-04 22:48:00,1.56795,-2e-05,SL
34,2026-02-05 00:54:00,LONG,1.56772,1.5792485714285718,1.5654142857142856,2026-02-05 00:54:00,1.56772,-2e-05,SL
35,2026-02-05 01:30:00,LONG,1.5691,1.5811214285714281,1.5666957142857143,2026-02-05 01:30:00,1.5691,-2e-05,SL
36,2026-02-05 02:32:00,LONG,1.5681,1.5825,1.56522,2026-02-05 02:32:00,1.5681,-2e-05,SL
37,2026-02-05 03:35:00,LONG,1.56737,1.583023571428571,1.5642392857142857,2026-02-05 03:35:00,1.56737,-2e-05,SL
38,2026-02-05 06:06:00,LONG,1.56953,1.5818299999999996,1.5670700000000002,2026-02-05 06:06:00,1.56953,-2e-05,SL
39,2026-02-05 06:18:00,LONG,1.56868,1.5811299999999995,1.5661900000000002,2026-02-05 06:18:00,1.56868,-2e-05,SL
40,2026-02-05 07:01:00,LONG,1.56963,1.5829049999999993,1.5669750000000002,2026-02-05 07:01:00,1.56963,-2e-05,SL
41,2026-02-05 07:40:00,LONG,1.5709,1.585257142857142,1.5680285714285715,2026-02-05 07:40:00,1.5709,-2e-05,SL
42,2026-02-05 08:34:00,LONG,1.57015,1.5868749999999996,1.566805,2026-02-05 08:34:00,1.57015,-2e-05,SL
43,2026-02-05 12:46:00,LONG,1.5691,1.5834464285714278,1.5662307142857144,2026-02-05 12:46:00,1.5691,-2e-05,SL
44,2026-02-05 19:30:00,LONG,1.56829,1.580975714285715,1.565752857142857,2026-02-05 19:30:00,1.56829,-2e-05,SL
